Company,Round_Size_USD,Stage,Vertical,Sub_Vertical,Location_City,Location_Country,Region,AI_Related,Valuation_USD,Lead_Investors,Date_Announced
Zolve,51000000,Series B,Fintech,Neobank,Bangalore,India,Asia,No,,"Creaegis, HSBC, SBI",2025
Runware,50000000,Series A,AI,Image Generation,Stockholm,Sweden,Europe,Yes,,"Dawn Capital, Comcast Ventures",Dec-2025
Video Rebirth,50000000,Growth,AI,Video,Singapore,Singapore,Asia,Yes,,,Nov-2025
Aye Finance,50000000,Series B Extension,Fintech,MSME Lending,Gurgaon,India,Asia,No,,"Accel, SBI Investment",2025
Traversal,48000000,Series A,AI,Healthcare,USA,USA,North America,Yes,,"Kleiner Perkins, Sequoia",2025
Yubi,46400000,Mixed,Fintech,Debt Platform,Mumbai,India,Asia,No,,,2025
Olares,45000000,Growth,AI,Infrastructure,Singapore,Singapore,Asia,Yes,,,Nov-2025
Kargo,42000000,Series B,Logistics,Warehouse AI,San Francisco,USA,North America,Yes,,"Avenir Growth, Linse Capital",Dec-2025
Slash,41000000,Series B,Fintech,Business Banking,San Francisco,USA,North America,No,370000000,,May-2025
Mirelo,41000000,Seed,AI,General,USA,USA,North America,Yes,,a16z,Dec-2025
Alvys,40000000,Series B,Logistics,Freight Software,USA,USA,North America,No,,,Oct-2025
Sun King,40000000,Growth,Cleantech,Solar,Nairobi,Kenya,Africa,No,,Lightrock,Dec-2025
Snitch,40000000,Series B,Consumer,D2C Fashion,Bangalore,India,Asia,No,,,Jun-2025
Drug Discovery AI,40000000,Series A,AI,Biotech,USA,USA,North America,Yes,,"Sequoia, a16z",2025
Zhipu AI,400000000,Growth,AI,Foundation Models,Beijing,China,Asia,Yes,,State-backed,2025
Zadient Technologies,35000000,Series A,DeepTech,Materials,Paris,France,Europe,No,,,Nov-2025
Achira,33000000,Seed,Healthtech,Diagnostics,USA,USA,North America,No,,,Q1-2025
Spark Cleantech,33000000,Series A,Cleantech,Industrial Energy,Paris,France,Europe,No,,,Dec-2025
Foxtale,30000000,Series B,Consumer,D2C Skincare,Bangalore,India,Asia,No,,"Panthera, Matrix Partners",Apr-2025
SpotDraft,30000000,Series B,AI,Legal Tech,New York,USA,North America,Yes,,Lightspeed India,2025
Deblock,30000000,Series A,Fintech,Crypto,London,UK,Europe,No,,,Nov-2025
Galatek,30000000,Series A,Robotics,Lab Automation,Singapore,Singapore,Asia,Yes,,,2025
Cinch,28800000,Series B,Enterprise SaaS,HR/Finance,India,India,Asia,Yes,,,2025
Salmon,28000000,Series B,Fintech,Lending,Singapore,Singapore,Asia,Yes,,,2025
Cashfree Payments,25000000,Series C,Fintech,Payments,Bangalore,India,Asia,No,,"Tiger Global, Sequoia India",2025
Sleek,23000000,Series A,Enterprise SaaS,Back Office,Singapore,Singapore,Asia,No,,,2025
AND Global,22800000,Series B,Fintech,Lending,Singapore,Singapore,Asia,No,,IFC,2025
Mental Health AI,20000000,Series A,AI,Healthcare,USA,USA,North America,Yes,,"Headline, Village Global",2025
SquareX,20000000,Series A,Fintech,SME Infrastructure,India,India,Asia,No,,,2025
Peec AI,18000000,Series A,AI,General,Berlin,Germany,Europe,Yes,,,Nov-2025
Atlas Consolidated,18100000,Series B,Fintech,BaaS,Singapore,Singapore,Asia,No,,,Aug-2025
Lucidean,18000000,Seed,AI,Infrastructure,USA,USA,North America,Yes,,,2025
Affiniti,17000000,Series A,Fintech,Expense Cards,USA,USA,North America,No,,SignalFire,2025
Pintarnya,16700000,Series A,Consumer,Jobs Platform,Jakarta,Indonesia,Asia,No,,Square Peg,2025
Hummink,15000000,Series A,DeepTech,Manufacturing,Paris,France,Europe,No,,,Nov-2025
Chocolate Finance,15000000,Series A,Fintech,Wealth,Singapore,Singapore,Asia,No,,Nikko Asset Management,2025
Perceive Pharma,15000000,Series A,Biotech,Ophthalmology,USA,USA,North America,No,,,2025
Citrea,14000000,Series A,Crypto,Bitcoin L2,USA,USA,North America,No,,,Oct-2024
Amphix Bio,12500000,Seed,Biotech,General,Chicago,USA,North America,No,,,2025
IMTC,12000000,Series A,Fintech,Fixed Income Tech,New York,USA,North America,No,,Nyca Partners,2025
Lemon Slice,10500000,Seed,AI,Research,San Francisco,USA,North America,Yes,,,2025
Skydo,10000000,Series A,Fintech,Payments,India,India,Asia,No,,,2025
MarketLeap,8300000,Series A,Consumer,D2C E-commerce,Europe,Europe,Europe,Yes,,Smedvig Ventures,Feb-2025
Bifrost AI,8000000,Series A,AI,Synthetic Data,USA,USA,North America,Yes,,,Oct-2024
Dwellito,8000000,Series A,Proptech,Real Estate,USA,USA,North America,No,,,2025
Thinking Machines Lab,2000000000,Seed,AI,Foundation Models,San Francisco,USA,North America,Yes,12000000000,"a16z, Nvidia, Accel, AMD",Jul-2025
Unconventional AI,475000000,Seed,AI,Neuromorphic Computing,San Francisco,USA,North America,Yes,4500000000,"a16z, Lightspeed, Lux, DCVC",Dec-2025
Periodic Labs,300000000,Seed,AI,AI Scientist,San Francisco,USA,North America,Yes,,"Felicis, a16z, Nvidia, Lightspeed, Khosla",Sep-2025
Lila Sciences,200000000,Seed,AI,Science,Cambridge,USA,North America,Yes,,Flagship Pioneering,Mar-2025
LMArena,100000000,Seed,AI,Benchmarking,Berkeley,USA,North America,Yes,600000000,"a16z, UC Investments",May-2025
Upscale AI,100000000,Seed,AI,Infrastructure,USA,USA,North America,Yes,,"Maverick Silicon, Mayfield, Stanford",Sep-2025
Amca,76500000,Seed,Aerospace,Aviation,El Segundo,USA,North America,No,,,Apr-2025
Gradium,70000000,Seed,AI,General,USA,USA,North America,Yes,,FirstMark,Dec-2025
Edison,70000000,Seed,AI,General,USA,USA,North America,Yes,,Spark Capital,Dec-2025
Axiom Math,64000000,Seed,AI,Mathematics,USA,USA,North America,Yes,300000000,,2025
Mirelo,41000000,Seed,AI,Video/Audio,USA,USA,North America,Yes,,"Index Ventures, a16z",Dec-2025
Samaya,43500000,Seed + Series A,AI,Financial Services,USA,USA,North America,Yes,,,2025
Neurable,35000000,Series A,Healthtech,Brain Wearables,Boston,USA,North America,Yes,,,Dec-2025
Truemed,34000000,Series A,Fintech,Wellness,USA,USA,North America,No,,,Dec-2025
imper.ai,28000000,Series A,AI,Cybersecurity,New York,USA,North America,Yes,,,Dec-2025
GetVocal AI,26000000,Series A,AI,Customer Service,Paris,France,Europe,Yes,,,Dec-2025
Bedrock Data,25000000,Series A,Cybersecurity,Data Security,USA,USA,North America,No,,,Dec-2025
Lucidean,18000000,Seed,AI,Infrastructure,USA,USA,North America,Yes,,,2025
FINNY,17000000,Series A,Fintech,Advisory,New York,USA,North America,Yes,,Venrock,Dec-2025
Red Queen Bio,15000000,Seed,AI,Biosecurity,USA,USA,North America,Yes,,OpenAI,Dec-2025
Multifactor,15000000,Seed,Cybersecurity,Identity,San Francisco,USA,North America,No,,YC,Dec-2025
Leona,14000000,Seed,AI,General,USA,USA,North America,Yes,,a16z,Dec-2025
Amphix Bio,12500000,Seed,Biotech,General,Chicago,USA,North America,No,,,2025
Unlimited Industries,12000000,Seed,AI,General,USA,USA,North America,Yes,,a16z,Dec-2025
Supper,11000000,Seed,Consumer,Food,USA,USA,North America,No,,Union Square Ventures,Dec-2025
Lemon Slice,10500000,Seed,AI,Digital Avatars,San Francisco,USA,North America,Yes,,"Matrix Partners, YC",Dec-2025
Milestone,10000000,Seed,AI,ROI Tracking,USA,USA,North America,Yes,,"Heavybit, Hanaco",Nov-2025
SanegeneBio,110000000,Series B,Biotech,RNAi,USA,USA,North America,No,,,Dec-2025
The General Intelligence Company,8700000,Seed,AI,General,USA,USA,North America,Yes,,Union Square Ventures,Dec-2025
Dazzle AI,8000000,Seed,AI,Personal Assistant,USA,USA,North America,Yes,35000000,"Forerunner, Kleiner Perkins",Dec-2025
Matters.AI,7750000,Seed + Pre-Seed,AI,Enterprise,India,India,Asia,Yes,,"Endiya, Kalaari, Better Capital",2025
Loonen,6000000,Seed,Consumer,General,USA,USA,North America,No,,Brand Foundry Ventures,Dec-2025
Eikona,5000000,Seed,AI,Marketing,Tel Aviv,Israel,Middle East,Yes,,,Dec-2025
Luminal,5300000,Seed,AI,GPU Framework,USA,USA,North America,Yes,,"Felicis, Paul Graham",Nov-2025
Track Titan,5000000,Seed,AI,Motorsport,UK,UK,Europe,Yes,,,Dec-2025
Vibranium Labs,4600000,Seed,AI,General,USA,USA,North America,Yes,,,2025
Coinbax,4200000,Seed,Crypto,Payments,USA,USA,North America,No,,,2025
Kingpin,3500000,Seed,Enterprise SaaS,B2B Retail,Dubai,UAE,Middle East,Yes,,,Dec-2025
Gambit Cyber,3400000,Seed,AI,Cybersecurity,USA,USA,North America,Yes,,,Dec-2025
Beycome,2500000,Seed,Proptech,Real Estate,USA,USA,North America,No,,,2025
Ciphero,2500000,Pre-Seed,AI,Security,USA,USA,North America,Yes,,,Dec-2025
Soxton,2500000,Pre-Seed,AI,Legal,USA,USA,North America,Yes,,,Dec-2025
Newera.ai,2100000,Pre-Seed,AI,Enterprise,Riyadh,Saudi Arabia,Middle East,Yes,,Embark,Dec-2025
Empromptu,2000000,Pre-Seed,AI,Enterprise Apps,USA,USA,North America,Yes,,Precursor Ventures,Dec-2025
ZeroAvia,150000000,Series D,Cleantech,Aviation,Hollister,USA,North America,No,,,Dec-2025
Erebor Bank,350000000,Series D,Fintech,Crypto Banking,USA,USA,North America,No,,,Dec-2025
AI Proteins,41500000,Series A,AI,Biotech,Boston,USA,North America,Yes,,,Dec-2025
SciNeuro Pharmaceuticals,53000000,Series A,Biotech,Neurology,USA,USA,North America,No,,,Dec-2025
Spark Cleantech,33000000,Series A,Cleantech,Industrial Energy,Paris,France,Europe,No,,,Dec-2025
